Profile_ID,Faithfulness_SHAP,Faithfulness_SHAP+,Faithfulness_QSHAP+,Stability_SHAP,Stability_SHAP+,Stability_QSHAP+,Responsiveness_SHAP,Responsiveness_SHAP+,Responsiveness_QSHAP+,Clarity_SHAP,Clarity_SHAP+,Clarity_QSHAP+,Composite_SHAP,Composite_SHAP+,Composite_QSHAP+
1,22.26,33.55,35.18,68.11,96.06,80.43,8.17,8.17,12.58,3.62,4.72,4.33,43.21,59.38,54.53
2,22.75,33.41,35.36,67.79,91.0,79.83,8.66,8.66,13.01,4.14,4.57,4.29,45.47,57.35,54.31
3,19.53,33.91,22.19,67.76,93.39,91.41,7.94,7.94,5.44,3.41,4.64,4.93,41.42,58.32,54.88
4,19.49,31.77,36.18,67.86,96.99,76.57,7.46,7.46,15.23,3.54,4.72,4.04,41.87,58.99,53.03
5,14.33,28.43,34.19,69.91,92.73,81.57,7.39,7.39,8.21,3.6,4.76,4.63,41.14,56.85,54.9
6,18.03,32.75,32.12,69.05,95.69,88.8,8.5,8.5,7.18,4.02,4.66,4.74,43.89,58.87,56.69
7,21.74,33.0,23.37,68.87,96.36,89.98,7.29,7.29,5.9,3.73,4.71,4.83,43.58,59.08,54.52
8,23.11,33.79,30.14,68.55,96.1,91.16,7.55,7.55,5.28,3.64,4.66,4.82,43.57,59.12,56.73
9,18.03,32.75,32.12,69.05,95.69,88.8,8.5,8.5,7.18,4.02,4.66,4.74,43.89,58.87,56.69
10,21.74,33.0,23.37,68.87,96.36,89.98,7.29,7.29,5.9,3.73,4.71,4.83,43.58,59.08,54.52
11,19.49,31.77,36.18,67.86,96.99,76.57,7.46,7.46,15.23,3.54,4.72,4.04,41.87,58.99,53.03
12,23.86,33.91,32.41,68.45,93.38,85.77,7.28,7.28,9.05,4.22,4.61,4.68,46.02,58.07,55.99
13,18.13,33.0,10.4,69.55,96.69,89.77,7.89,7.89,1.9,3.64,4.69,4.98,42.43,59.25,50.36
14,18.13,33.0,10.4,69.55,96.69,89.77,7.89,7.89,1.9,3.64,4.69,4.98,42.43,59.25,50.36
15,17.57,32.15,23.84,68.39,93.13,83.56,9.22,9.22,4.97,3.42,4.77,4.82,41.32,58.49,52.5
16,21.25,32.75,36.18,68.75,94.68,82.18,7.92,7.92,10.5,3.65,4.71,4.47,43.2,58.64,55.49
17,13.65,32.45,29.84,67.97,87.61,81.41,10.11,10.11,8.0,3.41,4.68,4.62,40.16,56.75,53.45
18,21.74,33.0,23.37,68.87,96.36,89.98,7.29,7.29,5.9,3.73,4.71,4.83,43.58,59.08,54.52
19,23.11,33.79,30.14,68.55,96.1,91.16,7.55,7.55,5.28,3.64,4.66,4.82,43.57,59.12,56.73
20,18.17,32.54,30.89,69.48,94.11,80.43,8.26,8.26,8.75,3.65,4.66,4.57,42.54,58.29,53.42
21,18.03,32.75,32.12,69.05,95.69,88.8,8.5,8.5,7.18,4.02,4.66,4.74,43.89,58.87,56.69
22,22.39,33.79,30.14,67.77,96.84,84.1,7.7,7.7,9.23,3.55,4.71,4.55,42.8,59.56,54.33
23,21.74,33.0,23.37,68.87,96.36,89.98,7.29,7.29,5.9,3.73,4.71,4.83,43.58,59.08,54.52
24,21.25,32.75,36.18,68.75,94.68,82.18,7.92,7.92,10.5,3.65,4.71,4.47,43.2,58.64,55.49
25,18.79,33.79,17.0,68.53,94.39,91.3,7.81,7.81,3.6,3.93,4.76,4.93,43.48,59.07,52.93
26,17.57,32.15,23.84,68.39,93.13,83.56,9.22,9.22,4.97,3.42,4.77,4.82,41.32,58.49,52.5
27,19.44,33.79,22.67,68.07,93.01,88.32,9.3,9.3,5.75,3.73,4.61,4.85,43.05,58.34,53.86
28,22.75,33.41,35.36,67.79,91.0,79.83,8.66,8.66,13.01,4.14,4.57,4.29,45.47,57.35,54.31
29,20.33,34.37,30.89,69.18,95.61,86.98,8.28,8.28,7.43,3.66,4.7,4.79,43.14,59.44,56.01
30,20.29,34.45,8.92,66.7,87.98,90.49,10.8,10.8,1.05,3.39,4.82,4.99,41.83,58.18,50.01
31,17.57,32.15,23.84,68.39,93.13,83.56,9.22,9.22,4.97,3.42,4.77,4.82,41.32,58.49,52.5
32,21.4,32.15,19.23,69.43,95.18,91.5,6.76,6.76,3.59,4.39,4.73,4.96,46.16,58.47,53.79
33,11.41,22.14,31.44,72.69,88.47,81.4,4.18,4.18,8.15,4.51,4.89,4.63,44.1,53.59,53.99
34,11.41,22.14,31.44,72.69,88.47,81.4,4.18,4.18,8.15,4.51,4.89,4.63,44.1,53.59,53.99
35,17.57,32.15,23.84,68.39,93.13,83.56,9.22,9.22,4.97,3.42,4.77,4.82,41.32,58.49,52.5
36,13.65,32.45,29.84,67.97,87.61,81.41,10.11,10.11,8.0,3.41,4.68,4.62,40.16,56.75,53.45
37,18.03,32.75,32.12,69.05,95.69,88.8,8.5,8.5,7.18,4.02,4.66,4.74,43.89,58.87,56.69
38,16.54,28.06,35.36,70.47,90.94,85.07,6.95,6.95,9.55,4.11,4.74,4.73,43.94,56.04,56.95
39,13.91,29.74,29.84,69.05,93.12,87.67,7.15,7.15,6.88,3.55,4.73,4.8,40.51,57.2,55.82
40,9.5,31.81,34.19,69.91,87.63,74.66,8.43,8.43,12.82,3.63,4.71,4.21,40.04,56.36,52.06
41,19.44,33.79,22.67,68.07,93.01,88.32,9.3,9.3,5.75,3.73,4.61,4.85,43.05,58.34,53.86
42,18.13,33.0,10.4,69.55,96.69,89.77,7.89,7.89,1.9,3.64,4.69,4.98,42.43,59.25,50.36
43,22.39,33.79,30.14,67.77,96.84,84.1,7.7,7.7,9.23,3.55,4.71,4.55,42.8,59.56,54.33
44,21.4,32.15,19.23,69.43,95.18,91.5,6.76,6.76,3.59,4.39,4.73,4.96,46.16,58.47,53.79
45,21.25,32.75,36.18,68.75,94.68,82.18,7.92,7.92,10.5,3.65,4.71,4.47,43.2,58.64,55.49
46,21.74,33.0,23.37,68.87,96.36,89.98,7.29,7.29,5.9,3.73,4.71,4.83,43.58,59.08,54.52
47,9.5,31.81,34.19,69.91,87.63,74.66,8.43,8.43,12.82,3.63,4.71,4.21,40.04,56.36,52.06
48,18.79,33.79,17.0,68.53,94.39,91.3,7.81,7.81,3.6,3.93,4.76,4.93,43.48,59.07,52.93
49,18.8,33.41,28.17,67.66,92.13,88.33,7.68,7.68,7.36,3.38,4.72,4.74,41.0,58.07,55.39
50,21.4,32.15,19.23,69.43,95.18,91.5,6.76,6.76,3.59,4.39,4.73,4.96,46.16,58.47,53.79
51,18.79,33.79,17.0,68.53,94.39,91.3,7.81,7.81,3.6,3.93,4.76,4.93,43.48,59.07,52.93
52,23.86,33.91,32.41,68.45,93.38,85.77,7.28,7.28,9.05,4.22,4.61,4.68,46.02,58.07,55.99
53,19.44,33.79,22.67,68.07,93.01,88.32,9.3,9.3,5.75,3.73,4.61,4.85,43.05,58.34,53.86
54,21.4,32.15,19.23,69.43,95.18,91.5,6.76,6.76,3.59,4.39,4.73,4.96,46.16,58.47,53.79
